,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone
873,3,0,2,1,2,1,1
874,2,1,1,2,0,3,0
875,3,1,0,0,0,2,1
876,3,0,1,1,2,1,1
877,3,0,1,0,2,1,1
878,3,0,1,0,2,1,1
879,1,1,3,3,0,3,0
880,2,1,1,2,2,3,0
881,3,0,2,0,2,1,1
882,3,1,1,1,2,2,1
883,2,0,1,1,2,1,1
884,3,0,1,0,2,1,1
885,3,1,2,2,1,3,0
886,2,0,1,1,2,5,1
887,1,1,1,2,2,2,1
888,3,1,1,2,2,2,0
889,1,0,1,2,0,1,1
890,3,0,1,0,1,1,1
